category,treatment,slug,current_image,shared_with
"Glass Skin & Glow","Skin Boosters","skin-boosters","/images/treatments/photo-1616394584738-fc6e612e71b9.jpg","Brightening Peel"
"Glass Skin & Glow","Bio-Remodelling Therapy","profhilo-bioremodelling","/images/treatments/photo-1643684391140-c5056cfd3436.jpg","Four-Week Polish"
"Glass Skin & Glow","Medi-Facial (Hydra)","hydrafacial","/images/treatments/photo-1570172619644-dfd03ed5d881.jpg","Week-Of Facial"
"Glass Skin & Glow","Brightening Protocol","glutathione-brightening","/images/treatments/photo-1731514771613-991a02407132.jpg","Engagement Glow"
"Glass Skin & Glow","Exosome Therapy","exosome-therapy","/images/treatments/photo-1544717304-a2db4a7b16ee.jpg","Post-Event Recovery"
"Glass Skin & Glow","Doctor-Led Skincare","cosmeceuticals","/images/treatments/photo-1643684460412-76908d8e5a25.jpg","Exosome Therapy"
"Glass Skin & Glow","LED Phototherapy","led-phototherapy","/images/treatments/photo-1785861433534-8cd4c7b994fa.jpg","Density HIFU; Vascular Laser; Full Arms; Pigmentation Treatment; Eyelid Resurfacing; Cosmetic Tattoo Removal; Iontophoresis"
"Glass Skin & Glow","Carbon Laser Peel","carbon-laser-peel","/images/treatments/photo-1785861775561-c6db7da314a0.jpg","Neck Tightening RF; Laser Genesis; Full Legs; Underarm & Intimate Lightening; Facial Slimming HIFU; Tattoo Fading for Cover-Up; Microwave Gland Treatment"
"Glass Skin & Glow","Polynucleotide Therapy","polynucleotide-therapy","/images/treatments/photo-1746017062285-13c77e29fc25.jpg","Gummy Smile Correction; Chin & Jaw Contour; Collagen Stimulator; Dorsal Hump Camouflage; Injection Lipolysis; Lip Asymmetry Correction"
"Glass Skin & Glow","NCTF Mesotherapy","nctf-mesotherapy","/images/treatments/photo-1666446224369-2783384adf02.jpg","Neck Band Softening; Smile Line Softening; Calcium Hydroxylapatite Filler; Chemical Brow Lift; Buccal Slimming (Non-Surgical); PRF Therapy"
"Lifting & Tightening","Thread Lift","thread-lift","/images/treatments/photo-1754941622138-b3c3671f2fa8.jpg","Décolleté Firming; Q-Switched Nd:YAG; Underarms; Melasma Protocol; Periorbital Tightening; Coloured Tattoo Removal; Neck & Chest Redness"
"Lifting & Tightening","HIFU Skin Tightening","hifu-ultherapy","/images/treatments/photo-1754941622117-97957c5d669b.jpg","Laser Toning; Light Fractional Resurfacing; Upper Lip & Chin; Post-Acne Mark Treatment; Hori's Nevus Treatment; Black Ink Removal; Rosacea Vessel Treatment"
"Lifting & Tightening","RF Microneedling","rf-microneedling","/images/treatments/photo-1754941622136-6664a3f50b2e.jpg","Carbon Laser Peel; RF Microneedling; Full Face; Microneedling for Scars; Freckle & Sunspot Clearing; Rosacea Programme; Facial Thread Veins"
"Lifting & Tightening","Collagen Biostimulators","collagen-biostimulators","/images/treatments/photo-1598300195998-364bf445842c.jpg","Fractional Resurfacing; Insulated RF Microneedling; Beard Shaping (Men); Low-Level Laser Therapy; Dark Circle Correction; Tattoo Removal; Lip Pigmentation Treatment"
"Lifting & Tightening","Neck & Décolleté Lift","neck-lift-nonsurgical","/images/treatments/photo-1761819922058-d15028ed9817.jpg","IPL Photofacial; Thulium Laser; Bikini & Intimate; PCOS Facial Hair Programme; De-Tan Programme; Men's Body Hair Reduction; Nail Fungus Laser"
"Lifting & Tightening","Jawline Definition","jawline-definition","/images/treatments/photo-1723540634462-528708cc17aa.jpg","Pico Laser; Long-Pulsed Nd:YAG; Full Body Package; Nd:YAG for Deeper Skin; Sun Damage Repair; Post-Tattoo Scar Treatment; Intimate Laser Therapy"
"Lifting & Tightening","Ultherapy","ultherapy","/images/treatments/photo-1730288951113-9cc087c14b83.jpg","Vascular Laser; Excimer Laser; Full Legs; Diode Laser; Neck Contouring; Collagen Induction Therapy; Pelvic Floor Strengthening"
"Lifting & Tightening","Shurink Lifting","shurink-universe","/images/treatments/photo-1732993486279-9d0f3b91adb2.jpg","Non-Ablative Fractional Laser; Full Face; Bikini Line; Beard Line Shaping; Chin & Neck Lift; Port Wine Stain Treatment; Bruise Clearing"
"Lifting & Tightening","Monopolar RF Lifting","oligio-rf","/images/treatments/photo-1761819920857-7edc5e808fd3.jpg","Picosecond Laser; Underarms; Back & Shoulders; Chest & Abdomen; Razor Bump Treatment; Hand Pigmentation Treatment"
"Lifting & Tightening","Density HIFU","density-lifting","/images/treatments/photo-1785861433534-8cd4c7b994fa.jpg","LED Phototherapy; Vascular Laser; Full Arms; Pigmentation Treatment; Eyelid Resurfacing; Cosmetic Tattoo Removal; Iontophoresis"
